INSTITUTE NAME,EIIN,INSTITUTE_TYPE,DIVISION_ID,DIVISION,DISTRICT_ID,DISTRICT,THANA_ID,THANA,UNION_ID,UNION_NAME,MAUZA_ID,MAUZA_NAME,AREA_STATUS,GEOGRPYCAL_STATUS,ADDRESS,POST,MANAGEMENT_TYPE,MOBILE,STUDENT_TYPE,EDUCATION_LEVEL,AFFILIATION,MPO_STATUS
BALIATALI CHARAKGACHHIA DAKHIL MADRASHA,100078,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040915,ARPANGASHIA,10040915442,GHOPKHALI, RURAL,RIVER SIDE/CHAR,BALIATALI,PACHA KORALIA,NON-GOVERNMENT,1711079989,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
CHALAVANGA HIGH SCHOOL PRO,100020,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040913,AMTALI,10040913147,CHALABHANGA, RURAL,RIVER SIDE/CHAR,CHALAVANGA,CHALAVANGA,NON-GOVERNMENT,1726175459,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
CHARAKGACHIA SECONDARY SCHOOL,100016,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040915,ARPANGASHIA,10040915442,GHOPKHALI, RURAL,COASTAL AREA,CHARAKGACHIA,PANCHAKORALIA,NON-GOVERNMENT,1734083408,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
CHAWRA CHANDRA JUNIOR HIGH SCHOOL,100060,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040947,CHOWRA,10040947196,CHANDRA, RURAL,PLAIN LAND,CHANDRA,PATAKATA,NON-GOVERNMENT,1727464884,CO-EDUCATION JOINT,Junior Secondary,RECOGNIZE,NO
CHAWRA KARIGARI AND KRISHI COLLEGE,132843,Technical and Vocational,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040947,CHOWRA,10040947196,CHANDRA, RURAL,COASTAL AREA,CHANDRA,PATAKATA,NON-GOVERNMENT,1717203234,CO-EDUCATION JOINT,POLYTECHNIC INSTITUTE,RECOGNIZE,
CHAWRA NESARIA SENIOR ALIM MADRASAH,100108,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040947,CHOWRA,10040947429,GHOTKHALI, RURAL,PLAIN LAND,CHAWRA BETHMOR,GHATKHALI,NON-GOVERNMENT,1732374798,CO-EDUCATION JOINT,Alim,RECOGNIZE,YES
CHILA HASHEM BISWAS HIGH SCHOOL,100019,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040971,HALDIA,10040971773,PASCHIM CHILA, RURAL,PLAIN LAND,CHILA,PACHIM CHILA,NON-GOVERNMENT,1715952046,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
CHOTONILGONG HIGH SCHOOL,100012,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040913,AMTALI,10040913147,CHALABHANGA, RURAL,PLAIN LAND,CHOTONILGONG,CHALABHANGA,NON-GOVERNMENT,1718925197,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
CHUNAKHALI HIGH SCHOOL,100021,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040987,KUKUA,10040987786,PASCHIM CHUNAKHALI, RURAL,PLAIN LAND, CHUNAKHALI,HAT-CHUNAKHALI,NON-GOVERNMENT,1716030833,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
DAKKHIN  TAKTA BUNIA RAHMIA DAKHIL MADRASA,100076,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040971,HALDIA,10040971331,DAKSHIN TAKTABUNIA, RURAL,PLAIN LAND,DAKKHIN TAKTA BUNIA,TEPURA,NON-GOVERNMENT,1718792932,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
DAKSHIN KATHALIA TAZEM ALI SECONDARY SCHOOL,100003,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040971,HALDIA,10040971589,KATHALIA, RURAL,PLAIN LAND,KATHALIA,SOUTH KATHALIA,NON-GOVERNMENT,1720343613,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
DAKSHIN TAKTABUIA SECONDARY SCHOOL,100050,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040971,HALDIA,10040971331,DAKSHIN TAKTABUNIA, RURAL,PLAIN LAND,SAKSHIN TAKTABUNIA,HALDIA,NON-GOVERNMENT,1718361040,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
DR. MD. SHAHIDUL ISLAM COLLEGE,134876,College,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040915,ARPANGASHIA,10040915442,GHOPKHALI, RURAL,PLAIN LAND,CHARAKGACHIA,PANCHAKORALIA,NON-GOVERNMENT,1725960817,CO-EDUCATION JOINT,Higher Secondary ,PERMITTED,NO
EAST CHILA RAHMANIA HIGH SCHOOL,100017,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040971,HALDIA,10040971847,PURBA CHILA, RURAL,PLAIN LAND,PURBA CHILA,PASCHIM CHILA,NON-GOVERNMENT,1716203073,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
EUNUS ALI KHAN DEGREE COLLEGE,100111,College,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040963,GULISAKHALI,10040963565,KALIBARI, RURAL,PLAIN LAND,KALIBARI,HAT-CHUNAKHALI,NON-GOVERNMENT,1732374798,CO-EDUCATION JOINT,Degree (Pass) ,RECOGNIZE,YES
GAZIPUR BANDAIR HIGH SCHOOL,100032,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040923,ATHARAGASHIA,10040923393,GAZIPUR, RURAL,PLAIN LAND,GAZIPUR BANDAIR,GAZIPUR BANDAR,NON-GOVERNMENT,1712659808,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
GAZIPUR SENIOR FAZIL (B.A)  MADRASHA,100070,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040923,ATHARAGASHIA,10040923393,GAZIPUR, RURAL,COASTAL AREA,GAZIPUR,GAZIPUR SADAR,NON-GOVERNMENT,1724940868,CO-EDUCATION JOINT,Fazil,RECOGNIZE,YES
GHATKHALI AMINUDDIN GIRLS ALIM MADRASHA,100094,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040947,CHOWRA,10040947429,GHOTKHALI, RURAL,PLAIN LAND,GHATKHALI,GHATKHALI,NON-GOVERNMENT,1712982459,GIRLS,Alim,RECOGNIZE,YES
GHATKHALI HIGH SCHOOL,100044,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040947,CHOWRA,10040947429,GHOTKHALI, RURAL,PLAIN LAND,GHATKHALI,GHATKHALI,NON-GOVERNMENT,1748265596,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
GHOP KHALI AL-AMIN DAKHIL MADRASAH,100090,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040915,ARPANGASHIA,10040915442,GHOPKHALI, RURAL,PLAIN LAND,GHOPKHALI,TARIKATA,NON-GOVERNMENT,1734040555,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
GOZ-KHALI(MLT) HIGH SCHOOL,100023,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040963,GULISAKHALI,10040963454,GOJKHALI, RURAL,PLAIN LAND,GOZKHALI,BAIN BUNIA,NON-GOVERNMENT,1720485877,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
GULISHAKHALI AL-HAZ ABDUL KHALEQUE BM COLLEGE,136310,Technical and Vocational,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040963,GULISAKHALI,10040963479,GULISAKHALI, RURAL,PLAIN LAND,GULISHAKHALI,GULISHAKHALI,NON-GOVERNMENT,1712676005,CO-EDUCATION JOINT,H.S.C (B.M Independent),PERMITTED,
GULISHAKHALI DAKHIL MDRASHA,100077,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040963,GULISAKHALI,10040963479,GULISAKHALI, RURAL,COASTAL AREA,GULISHAKHALI,GULISHAKHALI,NON-GOVERNMENT,1706231342,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
GULSHA KHALIISHAQUE HIGH SCHOOL,100015,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040963,GULISAKHALI,10040963479,GULISAKHALI, RURAL,RIVER SIDE/CHAR,GULISHAKHALI,GULISHAKHALI,NON-GOVERNMENT,1716080742,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
HALDIA GRUDAL BANGO BANDU HIGH SCHOOL,100030,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040971,HALDIA,10040971491,HALDIA, RURAL,PLAIN LAND,HALDIA,HALDIA BAZAR,NON-GOVERNMENT,1715886917,CO-EDUCATION JOINT,Junior Secondary,RECOGNIZE,YES
HALIMA KHATUN G R GIRLS HIGH SCHOOL,100039,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040963,GULISAKHALI,10040963479,GULISAKHALI,OTHER MUNICIPALITY AREA,PLAIN LAND,GULISHAMALI,GULISAKHALI,NON-GOVERNMENT,1735631123,GIRLS,Junior Secondary,RECOGNIZE,YES
HARIDRABARIA D.S. DAKHIL MADRASHA,100095,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040963,GULISAKHALI,10040963479,GULISAKHALI, RURAL,PLAIN LAND,HARIDRABARIA,GULISAKHALI,NON-GOVERNMENT,1725254949,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
ISLAMPUR  HASHANIA  DAKHIL  MADRASHA,100073,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040913,AMTALI,10040913835,PUJAKHOLA, RURAL,RIVER SIDE/CHAR,ISLAMPUR,SONAUTA,NON-GOVERNMENT,1745566345,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
K H AKOTA JUNIOR HIGH SCHOOL,100042,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040963,GULISAKHALI,10040963479,GULISAKHALI, RURAL,PLAIN LAND,KALAGACHHIA,GULISHAKHALI,NON-GOVERNMENT,1735437438,CO-EDUCATION JOINT,Junior Secondary,RECOGNIZE,YES
KALAGACHIA ABDUL GANI DAKHIL MADRASHA,100096,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040963,GULISAKHALI,10040963552,KALAGACHHIA, RURAL,PLAIN LAND,KALAGACHIA,UTTARPURBA KALAGACHIA,NON-GOVERNMENT,1706231304,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
KALAGACHIA YUNUS A K JUNIOR HIGH SCHOOL,100038,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040963,GULISAKHALI,10040963552,KALAGACHHIA, RURAL,PLAIN LAND,KALAGACHIA,GULISAKHALI,NON-GOVERNMENT,1757959215,CO-EDUCATION JOINT,Junior Secondary,RECOGNIZE,YES
KALIBARI JR GIRLS HIGH SCHOOL,100029,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040963,GULISAKHALI,10040963565,KALIBARI, RURAL,PLAIN LAND,KALIBARI,HAT CHUNAKHALI,NON-GOVERNMENT,1727849050,GIRLS,Junior Secondary,RECOGNIZE,YES
KAUNIA IBRAHIM ACADEMY,100024,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040947,CHOWRA,10040947208,CHOWRA, RURAL,COASTAL AREA,KAUNIA,AMTALI,NON-GOVERNMENT,1721810903,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
KEWABUNIA SECONDARY SCHOOL,100035,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040987,KUKUA,10040987601,KEOWABUNIA, RURAL,PLAIN LAND,KEWABUNIA,HAT CHUNAKHALI,NON-GOVERNMENT,1716475978,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
KHAGDON JUNIOR HIGH SCHOOL,100046,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040987,KUKUA,10040987614,KHAGDON, RURAL,PLAIN LAND,KHAGDON,HAT CHUNAKHALI,NON-GOVERNMENT,1725966348,CO-EDUCATION JOINT,Junior Secondary,RECOGNIZE,YES
KHEKUANI HIGH SCHOOL,100034,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040963,GULISAKHALI,10040963626,KHEKUANI, RURAL,PLAIN LAND,KHEKUANI,KHEKUANI,NON-GOVERNMENT,1737227025,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
KUKUA ADARSHA HIGH SCHOOL,100031,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040987,KUKUA,10040987663,KUKUA, RURAL,PLAIN LAND,KUKUA,KUKUA,NON-GOVERNMENT,1713647486,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
KUKUA IDEAL JUNIOR GIRLS SCHOOL,100054,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040987,KUKUA,10040987638,KRISHNANAGAR, RURAL,PLAIN LAND,KRISHNANAGAR,KUKUA,NON-GOVERNMENT,1713963273,GIRLS,Junior Secondary,RECOGNIZE,NO
KUTUBPUR FAZIL MADRASHA,100071,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040987,KUKUA,10040987663,KUKUA, RURAL,COASTAL AREA,KRISHNA NAGAR,KUKUA,NON-GOVERNMENT,1711714303,CO-EDUCATION JOINT,Fazil,RECOGNIZE,YES
LOCHA JUUNIOR HIGH SCHOOL,100009,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040913,AMTALI,10040913024,AMTALI, RURAL,PLAIN LAND,LOCHA,AMTALI,NON-GOVERNMENT,1553487462,CO-EDUCATION JOINT,Junior Secondary,RECOGNIZE,YES
MADHYA TARIKATA DAKHIL MADRASA,100075,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040915,ARPANGASHIA,10040915921,TARIKATA, RURAL,COASTAL AREA,MADHYA TARIKATA,TARIKATA,NON-GOVERNMENT,1726195017,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
MAFIZ UDDIN GIRLS PILOT HIGH SCHOOL,100022,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040913,AMTALI,10040913024,AMTALI,UPZILA SADAR MUNICIPALITY,PLAIN LAND, UPZILA ROAD,AMTALI,NON-GOVERNMENT,1718101316,GIRLS,Secondary ,RECOGNIZE,YES
MODDHO CHANDRA JUNIOR HIGH SCHOOL,100048,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040947,CHOWRA,10040947208,CHOWRA, RURAL,PLAIN LAND,MODDHO CHANDRA,PATAKATA,NON-GOVERNMENT,1748247502,CO-EDUCATION JOINT,Junior Secondary,RECOGNIZE,YES
MOHAMMADPUR MAHMUDIA DAKHIL MADRASAH,100067,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040913,AMTALI,10040913024,AMTALI, RURAL,COASTAL AREA,MOHAMMADPUR,CHALA BHANGA,NON-GOVERNMENT,1710322701,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
MOHISHKATA NESARIA DAKHIL MADRASA,100074,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040987,KUKUA,10040987872,ROYBALA, RURAL,PLAIN LAND,MOHISHKATA,HATCHUNA KHALI,NON-GOVERNMENT,1721661386,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
N.M.M. AMZADIA ALIM MADRASHA,100102,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040963,GULISAKHALI,10040963565,KALIBARI, RURAL,PLAIN LAND,KALIBARI,U.PURBA KALAGACHIA,NON-GOVERNMENT,1738138096,CO-EDUCATION JOINT,Alim,RECOGNIZE,YES
PATAKTA NURUL HAQUE JUNIOR HIGH SCHOOL,100041,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040947,CHOWRA,10040947208,CHOWRA, RURAL,PLAIN LAND,PATAKATA,PATAKATA,NON-GOVERNMENT,1717110368,CO-EDUCATION JOINT,Junior Secondary,RECOGNIZE,YES
PURBA KEWABUNIA AKBARIA DAKHIL MADRASAH,100082,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040987,KUKUA,10040987601,KEOWABUNIA, RURAL,PLAIN LAND,PURBA KEWABUNIA,HAZIRHAT,NON-GOVERNMENT,1736912435,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
PURBA PATAKATA MEHER ALI SENIOR MADRASHA,100088,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040947,CHOWRA,10040947810,PATAKATA, RURAL,PLAIN LAND,PATAKATA,PATAKATA,NON-GOVERNMENT,1718830888,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
PURBO CHAWRA GOVT. PRIMARY SCHOOL,138056,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040947,CHOWRA,10040947810,PATAKATA, RURAL,PLAIN LAND,PATAKATA,PATAKATA,GOVERNMENT PRIMARY,1714828397,CO-EDUCATION JOINT,Junior Secondary,,NO
RAHMATPUR DAKHIL MADRASAH,100086,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040987,KUKUA,10040987503,HARI MRITYUNJOY, RURAL,PLAIN LAND,RAHAMTPUR,KUKUA,NON-GOVERNMENT,1791635674,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
SHAHEED SOHRAWARDI SECONDARY SCHOOL,100028,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040987,KUKUA,10040987663,KUKUA, RURAL,PLAIN LAND,KUKUA,S.SOHRAWARDY HIGH SCHOOL,NON-GOVERNMENT,1719765468,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
SHAKHRIA HIGH SCHOOL,100014,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040923,ATHARAGASHIA,10040923884,SAKHARIA, RURAL,PLAIN LAND,SHAKHARIA,HAZIR HAT,LOCAL GOVERNMENT,1712040882,C0-EDUCATION SEPARATE,Secondary ,RECOGNIZE,YES
SOUTH BENGAL IDEAL SCHOOL AND COLLEGE,134886,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040904,WARD NO-04,10040904823,SADARPARA,UPZILA SADAR MUNICIPALITY,PLAIN LAND,AMTALI,AMTALI,NON-GOVERNMENT,1734041282,CO-EDUCATION JOINT,Junior Secondary,RECOGNIZE,NO
SOUTH RAOGHA NUR AL AMIN SECONDARY SCHOOL,100033,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040971,HALDIA,10040971319,DAKSHIN RAOGHA, RURAL,PLAIN LAND,SOUTH RAOGHA,PATAKATA,NON-GOVERNMENT,1719938577,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
TAKTABUNIA NESARIA DAKHIL MADRASA,100101,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040971,HALDIA,10040971331,DAKSHIN TAKTABUNIA, RURAL,PLAIN LAND,DAKHIN TAKTABUNIA,HOLDIA BAZAR,NON-GOVERNMENT,1716667329,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
TARIKATA SECONDARY SCHOOL,100018,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040915,ARPANGASHIA,10040915921,TARIKATA, RURAL,PLAIN LAND,TARIKATA,TARIKATA,NON-GOVERNMENT,1714588243,CO-EDUCATION JOINT,Secondary ,RECOGNIZE,YES
TEPURA AHMADIA DAKHIL MADRASA,100084,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040971,HALDIA,10040971945,TEPURA, RURAL,PLAIN LAND,TEPURA,TEPURA,NON-GOVERNMENT,1721431769,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
TIAKHALI COLLEGE,100115,College,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040913,AMTALI,10040913994,UTTAR TIAKHALI, RURAL,PLAIN LAND,UTTAR TIAKHALI,CHALAVANGA,NON-GOVERNMENT,1721480305,CO-EDUCATION JOINT,Higher Secondary ,RECOGNIZE,NO
UTTAR KALAMPUR HATEMMIA DAKHIL MADRASA,100072,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040963,GULISAKHALI,10040963565,KALIBARI, RURAL,COASTAL AREA,KAMALPUR,UTTAR PURBA KALAGACHIA,NON-GOVERNMENT,1719661315,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
UTTAR KALAMPUR NURANI BALIKA DAKHIL MADRASHA,100100,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040963,GULISAKHALI,10040963565,KALIBARI, RURAL,COASTAL AREA,UTTAR KALAMPUR,UTTAR PURBA KALAGASIA,NON-GOVERNMENT,1716940463,GIRLS,Dakhil,RECOGNIZE,YES
UTTAR KATHALIA DAKHIL MADRASAH,100080,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040971,HALDIA,10040971589,KATHALIA, RURAL,PLAIN LAND,KATHALIA,GAZIPUR BANDAR,NON-GOVERNMENT,1745425702,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
UTTAR PASCHIM TIAKHALI KALAMIA DAKHIL MADRASHA,100104,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040913,AMTALI,10040913994,UTTAR TIAKHALI, RURAL,COASTAL AREA,UTTAR  TIAKHALI,CHALAVANGA,NON-GOVERNMENT,1719835047,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
UTTAR SONAKHALI SCHOOL & COLLEGE,100116,School and College,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040923,ATHARAGASHIA,10040923909,SONAKHALI, RURAL,COASTAL AREA,UTTAR SONAKHLI,SONAKHALI,NON-GOVERNMENT,1712879255,CO-EDUCATION JOINT,Higher Secondary ,RECOGNIZE,YES
UTTAR TEPURA ALAHAI DAKHIL MADRASA,100091,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040971,HALDIA,10040971945,TEPURA, RURAL,PLAIN LAND,UTTAR TEPURA,TEPURA HAT,NON-GOVERNMENT,1710020035,CO-EDUCATION JOINT,Dakhil,RECOGNIZE,YES
UTTAR TIAKHALI JUNIOR GIRLS HIGH SCHOOL,100051,School,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040913,AMTALI,10040913147,CHALABHANGA, RURAL,PLAIN LAND,UTTAR TIAKHALI,CHOLA BHANGA,NON-GOVERNMENT,1736712503,GIRLS,Junior Secondary,RECOGNIZE,YES
WEST CHILA AMINIA FAZIL MADRASAH,100065,Madrasha,10,BARISAL,1004,BARGUNA,100409,AMTALI,10040971,HALDIA,10040971773,PASCHIM CHILA, RURAL,PLAIN LAND,WEST CHILA,PASCHIM CHILA,NON-GOVERNMENT,1716835134,CO-EDUCATION JOINT,Fazil,RECOGNIZE,YES
BAMNA ASMATUNNESSA PILOT SECONDARY GIRLS SCHOOL,100119,School,10,BARISAL,1004,BARGUNA,100419,BAMNA,10041923,BAMNA,10041923102,BAMNA,UPZILA SADAR MUNICIPALITY,RIVER SIDE/CHAR,SHAFIPUR HOLDING NO- 10,BAMNA,NON-GOVERNMENT,1714765637,GIRLS,Secondary ,RECOGNIZE,YES
BAMNA DEGREE COLLEGE,100143,College,10,BARISAL,1004,BARGUNA,100419,BAMNA,10041923,BAMNA,10041923943,SHAFIPUR,UPZILA SADAR BUT NOT MUNICIPALITY,COASTAL AREA,PURBO SOFIPUR,BAMNA,NON-GOVERNMENT,1718622077,CO-EDUCATION JOINT,Degree (Pass) ,RECOGNIZE,YES
BAMNA MOHILA DAKHIL MADRASHA,100139,Madrasha,10,BARISAL,1004,BARGUNA,100419,BAMNA,10041923,BAMNA,10041923943,SHAFIPUR,UPZILA SADAR BUT NOT MUNICIPALITY,RIVER SIDE/CHAR,SHAFIPUR,BAMNA,NON-GOVERNMENT,1735336182,GIRLS,Dakhil,RECOGNIZE,YES
